"uuid","created","event","id"
"5abea6ab-71fd-4325-a4d9-00b405b6cc72","2020-11-02 00:02:34.760685","Time in OBJECT","9897996a-3377-4fdd-bb10-31ebefc990a9"
"2a6db282-1b2c-4fc0-a4f3-b7df99954c93","2020-11-02 00:02:35.634629","TimeBanner opened -theme3","8b9d9887-a884-4648-8dcd-7d5b5a284b4f"
"4454bd1f-f188-4db5-95dd-05ca05342bd7","2020-11-02 00:02:35.68225","ExportMode","257f8fb9-e165-408d-8927-3efc7cd66061"
"4454bd1f-f188-4db5-95dd-05ca05342bd7","2020-11-02 00:02:35.686891","Time in RENDER","4ae2d8fb-240e-45d7-8d51-13df30853c1e"
"00000000-0000-0000-0000-000000000000","2020-11-02 00:02:36.300448","mainShow","1248411e-1020-4ad6-bc05-2299e6693de9"
"5abea6ab-71fd-4325-a4d9-00b405b6cc72","2020-11-02 00:02:37.326521","ShareMode","ef5aa0fe-92dd-492e-b379-bd761891a185"
"5abea6ab-71fd-4325-a4d9-00b405b6cc72","2020-11-02 00:02:37.32719","Time in EXPORT","9bdcf9d2-87bc-4040-b0c0-4a7509a776e5"
"3c10185c-b0b8-4859-9308-cd91945359f0","2020-11-02 00:02:37.385419","Time in OBJECT","c5924ac7-74a3-42ef-882b-5e65d03a35c6"
"4454bd1f-f188-4db5-95dd-05ca05342bd7","2020-11-02 00:02:38.338392","upgradePlan3DExport","08952036-682d-4556-ad2d-fa1c28c9a9f7"
"3c10185c-b0b8-4859-9308-cd91945359f0","2020-11-02 00:02:38.8274","Time in EDIT","812fb462-945c-4f63-8cd8-ec2bb8413933"
"4454bd1f-f188-4db5-95dd-05ca05342bd7","2020-11-02 00:02:39.140322","pv","83aca433-3f9b-4030-9253-f80716509727"
"95d762f1-ab76-4feb-8a83-770a1451bb5b","2020-11-02 00:02:39.614444","Saves","8ef42fa0-8ff3-4b07-85b6-9e7053f47d10"
"18f37a56-82c8-449d-ac73-11c37096abf1","2020-11-02 00:02:40.919374","LibraryMode","d3696aac-f8bf-4736-b817-c9942817330a"
"18f37a56-82c8-449d-ac73-11c37096abf1","2020-11-02 00:02:40.933811","Time in OBJECT","08bc791d-83e6-406c-9683-e306159f4654"
